open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1.67285E+12,13.413,13.558,13.333,13.419,3474778,1.67286E+12,46772731.55,58100,1691138,22767952.77,0
1.67286E+12,13.419,13.509,13.362,13.372,2903501,1.67286E+12,38998899.32,47825,1451879,19499335.52,0
1.67286E+12,13.372,13.46,13.044,13.177,6568625,1.67286E+12,86789324.64,112784,3110600,41107688.44,0
1.67286E+12,13.178,13.206,12.813,12.985,6955379,1.67287E+12,90198608.75,101843,3230249,41887960.42,0
1.67287E+12,12.986,13.148,12.985,13.13,2678710,1.67287E+12,35024376.23,39967,1380084,18045995.59,0
1.67287E+12,13.13,13.52,13.13,13.462,4138549,1.67287E+12,55150283.07,67760,2218183,29559794.92,0
1.67287E+12,13.462,13.585,13.361,13.405,3077922,1.67288E+12,41381545.16,52997,1553626,20890516.84,0
1.67288E+12,13.404,13.42,13.135,13.151,3673477,1.67288E+12,48799721.76,64184,1772504,23552896.33,0
1.67288E+12,13.151,13.3,13.031,13.208,3002735,1.67288E+12,39572099.76,51330,1506955,19862955.85,0
1.67288E+12,13.208,13.342,13.093,13.269,2385561,1.67289E+12,31524235.66,40194,1240822,16399865.68,0
1.67289E+12,13.268,13.278,13.114,13.209,1650850,1.67289E+12,21769610.71,32140,794724,10480025.34,0
1.67289E+12,13.208,13.482,13.202,13.34,3459123,1.67289E+12,46218061.75,61099,1738892,23233263.75,0
1.67289E+12,13.339,13.409,13.26,13.296,1488806,1.6729E+12,19844233.47,28535,734620,9791107.999,0
1.6729E+12,13.298,13.343,13.128,13.18,2656822,1.6729E+12,35134034.87,45569,1319676,17453269.13,0
1.6729E+12,13.18,13.271,13.117,13.237,1948965,1.67291E+12,25718010.63,35649,978543,12914960.28,0
1.67291E+12,13.237,13.27,13.107,13.168,2387462,1.67291E+12,31465133.55,39747,1178661,15534264.65,0
1.67291E+12,13.168,13.182,12.927,13.026,4165657,1.67291E+12,54294092.13,67523,1920230,25029351.87,0
1.67291E+12,13.027,13.233,13.023,13.192,3040996,1.67292E+12,39958324.42,48576,1549440,20353285.93,0
1.67292E+12,13.191,13.31,13.121,13.255,2361245,1.67292E+12,31192784.74,42051,1159777,15326232.76,0
1.67292E+12,13.255,13.336,13.187,13.213,2159946,1.67292E+12,28627347.49,40622,1098651,14565718.33,0
1.67292E+12,13.214,13.23,13.076,13.096,2377966,1.67293E+12,31294945.52,45251,1085050,14283260.6,0
1.67293E+12,13.096,13.212,13.027,13.157,3144652,1.67293E+12,41254388.38,52896,1580207,20736257.82,0
1.67293E+12,13.158,13.395,13.144,13.291,4536846,1.67293E+12,60243804.51,73554,2364909,31398730.4,0
1.67293E+12,13.291,13.312,13.121,13.167,2462878,1.67294E+12,32523188.81,41625,1179032,15569819.39,0
1.67294E+12,13.167,13.195,13.048,13.088,1929403,1.67294E+12,25299593.66,35378,927833,12168541.23,0
1.67294E+12,13.087,13.223,13.056,13.21,1709523,1.67295E+12,22480687.48,29679,874935,11507448.41,0
1.67295E+12,13.209,13.47,13.202,13.388,2791864,1.67295E+12,37194355.24,44028,1544325,20575634.4,0
1.67295E+12,13.388,13.781,13.387,13.641,7497301,1.67295E+12,101923015,129476,3931834,53448495.92,0
1.67295E+12,13.642,13.654,13.384,13.465,3874962,1.67296E+12,52264014.67,63048,1885654,25431259.13,0
1.67296E+12,13.466,13.491,13.33,13.392,1866130,1.67296E+12,25029312.93,35433,881639,11828144.14,0
1.67296E+12,13.392,13.506,13.339,13.418,2850885,1.67296E+12,38229528.05,49561,1427245,19140031.78,0
1.67296E+12,13.417,13.559,13.27,13.483,4039890,1.67297E+12,54147596.92,66566,2077698,27851919.02,0
1.67297E+12,13.483,13.505,13.353,13.373,1777323,1.67297E+12,23868472.61,31813,895381,12025255.05,0
1.67297E+12,13.373,13.397,13.159,13.196,3249506,1.67297E+12,43016078.69,55427,1565682,20723669.96,0
1.67297E+12,13.196,13.26,13.133,13.186,1588341,1.67298E+12,20970388.26,29306,763356,10080770.33,0
1.67298E+12,13.187,13.24,13.08,13.231,2184983,1.67298E+12,28756656.18,37608,1053248,13867117.29,0
1.67298E+12,13.231,13.24,13.116,13.18,1552085,1.67298E+12,20450682.3,26762,786865,10368169.91,0
1.67298E+12,13.18,13.236,13.073,13.117,2559855,1.67299E+12,33685410.48,40014,1207770,15896698.19,0
1.67299E+12,13.117,13.146,13.01,13.109,2370120,1.67299E+12,31002654.89,41035,1141587,14935146.02,0
1.67299E+12,13.109,13.232,13.097,13.166,1850487,1.673E+12,24395081.14,33323,940203,12394525.52,0
1.673E+12,13.165,13.166,13.01,13.138,2438163,1.673E+12,31917086.82,41430,1199572,15702810.62,0
1.673E+12,13.138,13.165,12.92,12.998,1907057,1.673E+12,24926487.29,32669,841329,11003714.46,0
1.673E+12,12.999,13.055,12.833,12.984,4970925,1.67301E+12,64315730.24,83525,2528235,32712240.01,0
1.67301E+12,12.984,13.014,12.884,12.913,2253104,1.67301E+12,29151567.16,37909,1072298,13874392.92,0
1.67301E+12,12.912,13.084,12.644,12.959,8760379,1.67301E+12,112730736.8,151062,4340721,55877827.44,0
